Element	AtomicNumber	GroupBlock	Period	StandardAtomicWeight	ElementCategory	ElectronConfiguration	Phase	MeltingPoint	BoilingPoint	Density	TriplePoint	CriticalPoint	HeatOfFusion	HeatOfVaporization	MolarHeatCapacity	OxidationStates	Electronegativity	IonizationEnergies	AtomicRadius	CovalentRadius	VanDerWaalsRadius	CrystalStructure	SpeedOfSound	ThermalExpansion	ThermalConductivity	ElectricalResistivity	MagneticOrdering	MagneticSusceptibility	YoungsModulus	ShearModulus	BulkModulus	PoissonRatio	MohsHardness	VickersHardness	BrinellHardness	CASNumber	Discovery
Titanium	22	4-D	4	47.867	TransitionMetal	[Ar] 3d2 4s2	Solid	1941	3560	4.506			14.15	425	25.06	4,3,2,1,-1,-2	1.54	658.8;1309.8;2652.5	147	160		HexagonalClosePacked	5090	8.6	21.9	0.42	Paramagnetic	0.000153	116	44	110	0.32	6	830 - 3420	716 - 2770	7440-32-6	William Gregor (1791)
Vanadium	23	5-D	4	50.9415	TransitionMetal	[Ar] 3d3 4s2	Solid	2183	3680	6			21.5	444	24.89	5,4,3,2,1,-1,-3	1.63	650.9;1414;2830	134	153		BodyCenteredCubic	4560	8.4	30.7	0.197	Paramagnetic	0.000255	128	47	160	0.37	6.7	628 - 640	600 - 742	7440-62-2	Andrés Manuel del Río (1801)
Chromium	24	6-D	4	51.9961	TransitionMetal	[Ar] 3d5 4s1	Solid	2180	2944	7.19			21	347	23.35	6,5,4,3,2,1,-1,-2,-4	1.66	652.9;1590.6;2987	128	139		BodyCenteredCubic	5940	4.9	93.9	0.125	AntiFerromagnetic	0.00028	279	115	160	0.21		1060	687 - 6500	7440-47-3	Louis Nicolas Vauquelin (1797)
Manganese	25	7-D	4	54.938044	TransitionMetal	[Ar] 3d5 4s2	Solid	1519	2334	7.21			12.91	221	26.32	7,6,5,4,3,2,1,-1,-2,-3	1.55	717.3;1509;3248	127	139		BodyCenteredCubic	5150	21.7	7.81	1.44	Paramagnetic	0.000529	198		120		6		196	7439-96-5	Carl Wilhelm Scheele (1774)
Iron	26	8-D	4	55.845	TransitionMetal	[Ar] 3d6 4s2	Solid	1811	3134	7.874			13.81	340	25.1	-4,-2,-1,1,2,3,4,5,6	1.83	762.5;1561.9;2957	126	132		FaceCenteredCubic	5120	11.8	80.4	0.0961	Ferromagnetic		211	82	170	0.29	4	608	200 - 1180	7439-89-6	before (5000 BC)
Cobalt	27	9-D	4	58.933194	TransitionMetal	[Ar] 3d7 4s2	Solid	1768	3200	8.9			16.06	377	24.81	-3,-1,1,2,3,4,5	1.88	760.4;1648;3232	125	126		HexagonalClosePacked	4720	13	100	0.0624	Ferromagnetic		209	75	180	0.31	5	1043	470 - 3000	7440-48-4	Georg Brandt (1732)
Nickel	28	10-D	4	58.6934	TransitionMetal	[Ar] 3d8 4s2;[Ar] 3d9 4s1	Solid	1728	3003	8.908			17.48	379	26.07	4,3,2,1,-1,-2	1.91	737.1;1753;3395	124	124	163	FaceCenteredCubic	4900	13.4	90.9	0.0693	Ferromagnetic		200	76	180	0.31	4	638	667 - 1600	7440-02-0	Axel Fredrik Cronstedt (1751)
Copper	29	11-D	4	63.546	TransitionMetal	[Ar] 3d10 4s1	Solid	1357.77	2835	8.96			13.26	300.4	24.44	-2,1,2,3,4	1.9	745.5;1957.9;3555	128	132	140	FaceCenteredCubic	3810	16.5	401	0.01678	Diamagnetic	-5.46E-06	119	48	140	0.34	3	343 - 369	235 - 878	7440-50-8	Middle East (9000 BC)
Zinc	30	12-D	4	65.38	TransitionMetal	[Ar] 3d10 4s2	Solid	692.68	1180	7.14			7.32	115	25.47	-2,0,1,2	1.65	906.4;1733.3;3833	134	122	139	HexagonalClosePacked	3850	30.2	116	0.059	Diamagnetic	-1.14E-05	108	43	70	0.25	2.5		327 - 412	7440-66-6	Indian metallurgists (1000 BC)
Gallium	31	13-P	4	69.723	PostTransitionMetal	[Ar] 3d10 4s2 4p1	Solid	302.9146	2673	5.91			5.59	256	25.86	3,2,1,-1,-2,-4,-5	1.81	578.8;1979.3;2963	135	122	187	Orthorhombic	2740	18	40.6	0.27	Diamagnetic	-2.16E-05	9.8			0.47	1.5		56.8 - 68.7	7440-55-3	Lecoq de Boisbaudran (1875)
Germanium	32	14-P	4	72.63	Metalloid	[Ar] 3d10 4s2 4p2	Solid	1211.4	3106	5.323			36.94	334	23.222	4,3,2,1,0,-1,-2,-3,-4	2.01	762;1537.5;3302.1	122	122	211	FaceCenteredDiamondCubic	5400	6	60.2	1	Diamagnetic	-7.684E-05	103	41	75	0.26	6			7440-56-4	Clemens Winkler (1886)
Arsenic	33	15-P	4	74.921595	Metalloid	[Ar] 3d10 4s2 4p3	Solid			5.727	1090 @ 3628		24.44	34.76	24.64	5,4,3,2,1,-1,-2,-3	2.18	947;1798;2735	119	119	185	Rhombohedral		5.6	50.2	0.333	Diamagnetic	-5.5E-06	8		22		3.5		1440	7440-38-2	Early Bronze Age (2500)
Selenium	34	16-P	4	78.971	NonMetal	[Ar] 3d10 4s2 4p4	Solid	494	958	4.81		1766 @ 27.2	6.69	95.48	25.363	6,5,4,3,2,1,-1,-2	2.55	941;2045;2973.7	120	120	190	Hexagonal	3350	37	0.519		Diamagnetic	-2.5E-05	10	3.7	8.3	0.33	2		736	7782-49-2	Jöns Jakob Berzelius and Johann Gottlieb Gahn (1817)
Bromine	35	17-P	4	79.904	NonMetal	[Ar] 3d10 4s2 4p5	Liquid	265.8	332	3.1028	265.9 @ 5.8	588 @ 10.34	10.571	29.96	75.69	7,5,4,3,1,-1	2.96	1139.9;2103;3470	120	120	185	Orthorhombic	206		0.122	7.8	Diamagnetic	-5.64E-05								7726-95-6	Antoine Jérôme Balard and Carl Jacob Löwig (1825)
Krypton	36	18-P	4	83.798	NobleGas	[Ar] 3d10 4s2 4p6	Gas	115.78	119.93	0.003749	115.775 @ 73.53	209.48 @ 5.525	1.64	9.08	20.95	2,1,0	3	1350.8;2350.4;3565		116	202	FaceCenteredCubic	23		9.43		Diamagnetic	-2.88E-05								7439-90-9	William Ramsay and Morris Travers (1898)
Rubidium	37	1-S	5	85.4678	AlkaliMetal	[Kr] 5s1	Solid	312.45	961	1.532		2093 @ 16	2.19	69	31.06	1,-1	0.82	403;2632.1;3859.4	248	220	303	BodyCenteredCubic	1300	90	58.2	0.128	Paramagnetic	1.7E-05	2.4		2.5		0.3		0.216	7440-17-7	Robert Bunsen and Gustav Kirchhoff (1861)
Strontium	38	2-S	5	87.62	AlkalineEarthMetal	[Kr] 5s2	Solid	1050	1650	2.64			7.43	141	26.4	2,1	0.95	549.5;1064.2;4138	215	195	249	FaceCenteredCubic		22.5	35.4	0.132	Paramagnetic	-9.2E-05	15.7	6.03		0.28	1.5			7440-24-6	William Cruickshank (1787)
Yttrium	39	3-D	5	88.90584	TransitionMetal	[Kr] 4d1 5s2	Solid	1799	3203	4.472			11.42	363	26.53	3,2,1	1.22	600;1180;1980	180	190		HexagonalClosePacked	3300	10.6	17.2	0.596	Paramagnetic	2.15E-06	63.5	25.6	41.2	0.243			200 - 589	7440-65-5	Johan Gadolin (1794)
Zirconium	40	4-D	5	91.224	TransitionMetal	[Kr] 4d2 5s2	Solid	2128	4650	6.52			14	591	25.36	4,3,2,1,-2	1.33	640.1;1270;2218	160	175		HexagonalClosePacked	3800	5.7	22.6	0.421	Paramagnetic		88	33	91.1	0.34	5	820 - 1800	638 - 1880	7440-67-7	Martin Heinrich Klaproth (1789)
Niobium	41	5-D	5	92.90637	TransitionMetal	[Kr] 4d4 5s1	Solid	2750	5017	8.57			30	689.9	24.6	5,4,3,2,1,-1,-3	1.6	652.1;1380;2416	146	164		BodyCenteredCubic	3480	7.3	53.7	0.152	Paramagnetic		105	38	170	0.4	6	870 - 1320	735 - 2450	7440-03-1	Charles Hatchett (1801)
Molybdenum	42	6-D	5	95.95	TransitionMetal	[Kr] 4d5 5s1	Solid	2896	4912	10.28			37.48	598	24.06	6,5,4,3,2,1,-1,-2,-4	2.16	684.3;1560;2618	139	154		BodyCenteredCubic	5400	4.8	138	0.0534	Paramagnetic	8.9E-05	329	126	230	0.31	5.5	1400 - 2740	1370 - 2500	7439-98-7	Carl Wilhelm Scheele (1778)
Technetium	43	7-D	5	98	TransitionMetal	[Kr] 4d5 5s2	Solid	2430	4538	11			33.29	585.2	24.27	7,6,5,4,3,2,1,-1,-3	1.9	702;1470;2850	136	147		HexagonalClosePacked	16200	7.1	50.6	0.2		0.00027								7440-26-8	Emilio Segrè and Carlo Perrier (1937)
Ruthenium	44	8-D	5	101.07	TransitionMetal	[Kr] 4d7 5s1		2607	4423	12.45			38.59	619	24.06	-4,-2,1,2,3,4,5,6,7,8	2.2	710.2;1620;2747	134	146		HexagonalClosePacked	5970	6.4	117	0.071	Paramagnetic	4.32E-05	447	173	220	0.3	6.5		2160	7440-18-8	Karl Ernst Claus (1844)
Rhodium	45	9-D	5	102.9055	TransitionMetal	[Kr] 4d8 5s1	Solid	2237	3968	12.41			26.59	493	24.98	6,5,4,3,2,1,-1,-3	2.28	719.7;1740;2997	134	142		FaceCenteredCubic	4700	8.2	150	0.0433	Paramagnetic	0.000111	380	150	275	0.26	6	1100 - 8000	980 - 1350	7440-16-6	William Hyde Wollaston (1804)
Palladium	46	10-D	5	106.42	TransitionMetal	[Kr] 4d10	Solid	1828.05	3236	12.023			16.74	358	25.98	0,1,2,3,4,5,6	2.2	804.4;1870;3177	137	139	163	FaceCenteredCubic	3070	11.8	71.8	0.1054	Paramagnetic	0.0005674	121	44	180	0.39	4.75	400 - 600	320 - 610	7440-05-3	William Hyde Wollaston (1803)
Silver	47	11-D	5	107.8682	TransitionMetal	[Kr] 4d10 5s1	Solid	1234.93	2435	10.49			11.28	254	25.35	-2,-1,1,2,3,4	1.93	731;2070;3361	144	145	172	FaceCenteredCubic	2680	18.9	429	0.01587	Diamagnetic	-1.95E-05	83	30	100	0.37	2.5	251	206 - 250	7440-22-4	before (5000 BC)
Cadmium	48	12-D	5	112.414	TransitionMetal	[Kr] 4d10 5s2	Solid	594.22	1040	8.65			6.21	99.87	26.02	2,1,-2	1.69	867.8;1631.4;3616	151	144	158	HexagonalClosePacked	2310	30.8	96.6	0.0727	Diamagnetic	-1.98E-05	50	19	42	0.3	2		203 - 220	7440-43-9	Karl Samuel Leberecht Hermann and Friedrich Stromeyer (1817)
Indium	49	13-P	5	114.818	PostTransitionMetal	[Kr] 4d10 5s2 5p1	Solid	429.7485	2345	7.31	429.7445 @ 1		3.281	231.8	26.74	3,2,1,-1,-2,-5	1.78	558.3;1820.7;2704	167	142	193	Tetragonal	1215	32.1	81.8	0.0837	Diamagnetic	-6.4E-05	11				1.2		8.8 - 10	7440-74-6	Ferdinand Reich and Hieronymous Theodor Richter (1863)
Tin	50	14-P	5	118.71	PostTransitionMetal	[Kr] 4d10 5s2 5p2	Solid	505.08	2875	5.769			7.03	296.1	27.112	4,3,2,1,-1,-2,-3,-4	1.96	708.6;1411.8;2943	140	139	217	FaceCenteredDiamondCubic	2730	22	66.8	0.115	Diamagnetic	3.1E-06	50	18	58	0.36			50 - 440	7440-31-5	around (3500 BC)
Antimony	51	15-P	5	121.76	Metalloid	[Kr] 4d10 5s2 5p3	Solid	903.78	1908	6.697			19.79	193.43	25.23	5,4,3,2,1,-1,-2,-3	2.05	834;1594.9;2440	140	139	206	Rhombohedral	3420	11	24.4	0.417	Diamagnetic	-9.9E-05	55	20	42		3		294 - 384	7440-36-0	(3000 BC)
Tellurium	52	16-P	5	127.6	Metalloid	[Kr] 4d10 5s2 5p4	Solid	722.66	1261	6.24			17.49	114.1	25.73	6,5,4,3,2,1,-1,-2	2.1	869.3;1790;2698	140	138	206	Hexagonal	2610	18	1.97		Diamagnetic	-3.95E-05	43	16	65		2.25		180 - 270	13494-80-9	Franz-Joseph Müller von Reichenstein (1782)
Iodine	53	17-P	5	126.90447	NonMetal	[Kr] 4d10 5s2 5p5	Solid	386.85	457.4	4.933	386.65 @ 12.1	819 @ 11.7	15.52	41.57	54.44	7,6,5,4,3,1,-1	2.66	1008.4;1845.9;3180	140	139	198	Orthorhombic			0.449	1.3	Diamagnetic	-8.87E-05			7.7					7553-56-2	Bernard Courtois (1811)
Xenon	54	18-P	5	131.293	NobleGas	[Kr] 4d10 5s2 5p6	Gas	161.4	165.051	0.005894	161.405 @ 81.77	289.733 @ 5.842	2.27	12.64	21.01	0,1,2,4,6,8	2.6	1170.4;2046.4;3099.4		140	216	FaceCenteredCubic	178		5.65		Diamagnetic	-4.39E-05								7440-63-3	William Ramsay and Morris Travers (1898)
Cesium	55	1-S	6	132.90545196	AlkaliMetal	[Xe] 6s1	Solid	301.7	944	1.93		1938 @ 9.4	2.09	63.9	32.21	1,-1	0.79	375.7;2234.3;3400	265	244	343	BodyCenteredCubic		97	35.9	0.205	Paramagnetic		1.7		1.6		0.2		0.14	7440-46-2	Robert Bunsen and Gustav Kirchhoff (1860)
Barium	56	2-S	6	137.327	AlkalineEarthMetal	[Xe] 6s2	Solid	1000	2118	3.51			7.12	142	28.07	2,1	0.89	502.9;965.2;3600	222	215	268	BodyCenteredCubic	1620	20.6	18.4	0.332	Paramagnetic	2.06E-05	13	4.9	9.6		1.25			7440-39-3	Carl Wilhelm Scheele (1772)
Lanthanum	57	3-F	6	138.90547	Lanthanide	[Xe] 5d1 6s2	Solid	1193	3737	6.162			6.2	400	27.11	3,2,1	1.1	538.1;1067;1850.3	187	207		HexagonalClosePacked	2475	12.1	13.4	0.615	Paramagnetic	0.000118	36.6	14.3	27.9	0.28	2.5	360 - 1750	350 - 400	7439-91-0	Carl Gustaf Mosander (1838)
Cerium	58	3-F	6	140.116	Lanthanide	[Xe] 4f1 5d1 6s2	Solid	1068	3716	6.77			5.46	398	26.94	4,3,2,1	1.12	534.4;1050;1949	181.8	204		FaceCenteredCubic	2100	6.3	11.3	0.828	Paramagnetic	0.00245	33.6	13.5	21.5	0.24	2.5	210 - 470	186 - 412	7440-45-1	Martin Heinrich Klaproth, Jöns Jakob Berzelius, Wilhelm Hisinger (1803)
Praseodymium	59	3-F	6	140.90766	Lanthanide	[Xe] 4f3 6s2	Solid	1208	3403	6.77			6.89	331	27.2	5,4,3,2	1.13	527;1020;2086	182	203		HexagonalClosePacked	2280	6.7	12.5	0.7	Paramagnetic	0.00501	37.3	14.8	28.8	0.281		250 - 745	250 - 640	7440-10-0	Carl Auer von Welsbach (1885)
Neodymium	60	3-F	6	144.242	Lanthanide	[Xe] 4f4 6s2	Solid	1297	3347	7.01			7.14	289	27.45	4,3,2	1.14	533.1;1040;2130	181	201		HexagonalClosePacked	2330	9.6	16.5	0.643	Paramagnetic	0.005628	41.4	16.3	31.8	0.281		345 - 745	265 - 700	7440-00-8	Carl Auer von Welsbach (1885)
Promethium	61	3-F	6	145	Lanthanide	[Xe] 4f5 6s2	Solid	1315	3273	7.26			7.13	289		3,2	1.13	540;1050;2150	183	199		HexagonalClosePacked		9	17.9		Paramagnetic		46	18						7440-12-2	Chien Shiung Wu, Emilio Segrè, Hans Bethe (1942)
Samarium	62	3-F	6	150.36	Lanthanide	[Xe] 4f6 6s2	Solid	1345	2173	7.52			8.62	192	29.54	4,3,2,1	1.17	544.5;1070;2260	180	198		Rhombohedral	2130	12.7	13.3		Paramagnetic	0.00186	49.7	19.5	37.8	0.274		410 - 440	440 - 600	7440-19-9	Lecoq de Boisbaudran (1879)
Europium	63	3-F	6	151.964	Lanthanide	[Xe] 4f7 6s2	Solid	1099	1802	5.264			9.21	176	27.66	3,2,1	1.2	547.1;1085;2404	180	198		BodyCenteredCubic		35	13.9	0.9	Paramagnetic	0.034	18.2	7.9	8.3	0.152		165 - 200		7440-53-1	Eugène-Anatole Demarçay (1896)
Gadolinium	64	3-F	6	157.25	Lanthanide	[Xe] 4f7 5d1 6s2	Solid	1585	3273	7.9			10.05	301.3	37.03	1,2,3	1.2	593.4;1170;1990	180	196		HexagonalClosePacked	2680	9.4	10.6	1.31	Paramagnetic	0.755	54.8	21.8	37.9	0.259		510 - 950		7440-54-2	Jean Charles Galissard de Marignac (1880)
Terbium	65	3-F	6	158.92535	Lanthanide	[Xe] 4f9 6s2	Solid	1629	3396	8.23			10.15	391	28.91	4,3,2,1	1.2	565.8;1110;2114	177	194		HexagonalClosePacked	2620	10.3	11.1	1.15	Paramagnetic	0.146	55.7		38.7	0.261		450 - 865	675 - 1200	7440-27-9	Carl Gustaf Mosander (1842)
Dysprosium	66	3-F	6	162.5	Lanthanide	[Xe] 4f10 6s2	Solid	1680	2840	8.54			11.06	280	27.7	4,3,2,1	1.22	573;1130;2200	178	192		HexagonalClosePacked	2710	9.9	10.7	0.926	Paramagnetic	0.1035	61.4	24.7	40.5	0.247		410 - 550	500 - 1050	7429-91-6	Lecoq de Boisbaudran (1886)
Holmium	67	3-F	6	164.93033	Lanthanide	[Xe] 4f11 6s2	Solid	1734	2873	8.79			17	251	27.15	3,2,1	1.23	581;1140;2204	176	192		HexagonalClosePacked	2760	11.2	16.2	0.814	Paramagnetic		64.8	26.3	40.2	0.231		410 - 600	500 - 1250	7440-60-0	Jacques-Louis Soret (1878)
Erbium	68	3-F	6	167.259	Lanthanide	[Xe] 4f12 6s2	Solid	1802	3141	9.066			19.9	280	28.12	3,2,1	1.24	589.3;1150;2194	176	189		HexagonalClosePacked	2830	12.2	14.5	0.86	Paramagnetic	0.0443	69.9	28.3	44.4	0.237		430 - 700	600 - 1070	7440-52-0	Carl Gustaf Mosander (1842)
Thulium	69	3-F	6	168.93422	Lanthanide	[Xe] 4f13 6s2	Solid	1818	2223	9.32			16.84	191	27.03	2,3	1.25	596.7;1160;2285	176	190		HexagonalClosePacked		13.3	16.9	0.676	Paramagnetic	0.0255	74	30.5	44.5	0.213		470 - 650	470 - 900	7440-30-4	Per Teodor Cleve (1879)
Ytterbium	70	3-F	6	173.045	Lanthanide	[Xe] 4f14 6s2	Solid	1097	1469	6.9			7.66	129	26.74	3,2,1	1.1	603.4;1174.8;2417	176	187		FaceCenteredCubic	1590	26.3	38.5	0.25	Paramagnetic	0.000249	23.9	9.9	30.5	0.207		205 - 250	340 - 440	7440-64-4	Jean Charles Galissard de Marignac (1878)
Lutetium	71	3-D	6	174.9668	Lanthanide	[Xe] 6s2 4f14 5d1	Solid	1925	3675	9.841			22	414	26.86	3,2,1	1.27	523.5;1340;2022.3	174	187		HexagonalClosePacked		9.9	16.4	0.582	Paramagnetic		68.6	27.2	47.6	0.261		755 - 1160	890 - 1300	7439-94-3	Carl Auer von Welsbach and Georges Urbain (1906)
Hafnium	72	4-D	6	178.49	TransitionMetal	[Xe] 4f14 5d2 6s2	Solid	2506	4876	13.31			27.2	648	25.73	4,3,2,1,-2	1.3	658.5;1440;2250	159	175		HexagonalClosePacked	3010	5.9	23	0.331	Paramagnetic	7.5E-05	78	30	110	0.37	5.5	1520 - 2060	1450 - 2100	7440-58-6	Dirk Coster and George de Hevesy (1922)
Tantalum	73	5-D	6	180.94788	TransitionMetal	[Xe] 4f14 5d3 6s2	Solid	3290	5731	16.69			36.57	753	25.36	5,4,3,2,1,-1,-3	1.5	761;1500	146	170		Tetragonal	3400	6.3	57.5	0.131	Paramagnetic	0.000154	186	69	200	0.34	6.5	870 - 1200	440 - 3430	7440-25-7	Anders Gustaf Ekeberg (1802)
Tungsten	74	6-D	6	183.84	TransitionMetal	[Xe] 4f14 5d4 6s2	Solid	3695	6203	19.25			35.3	774	24.27	6,5,4,3,2,1,0,-1,-2,-4	2.36	770;1700	139	162		BodyCenteredCubic	4620	4.5	173	0.0528	Paramagnetic	5.9E-05	411	161	310	0.28	7.5	3430 - 4600	2000 - 4000	7440-33-7	Carl Wilhelm Scheele (1781)
